编号,类型,事件,详细
30000/30100/30111,公共卫生,新疆（含兵团）8月9日新增14例新冠肺炎确诊病例,新疆维吾尔自治区卫生健康委最新通报，8月9日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例14例，新增无症状感染者7例，均在乌鲁木齐市；新增治愈出院确诊病例47例，无症状感染者解除医学观察7例，均在乌鲁木齐市；重症转普通型2例。截至8月9日24时，新疆（含兵团）现有确诊病例592例(危重症13例、重症22例)
30000/30100/30111,公共卫生,北京8月9日无新增新冠肺炎确诊病例,月9日0时至24时，北京无新增报告本地新冠肺炎确诊病例、疑似病例和无症状感染者；无新增报告境外确诊病例、疑似病例和无症状感染者。7月27日以来，累计报告大连市疫情关联病例4例；境外输入病例2例。平谷区自有疫情以来无报告病例、延庆区199天、怀柔区185天、顺义区183天、密云区180天、石景山区56天、门头沟区55天、房山区55天、东城区54天、通州区50天、朝阳区49天、西城区48天、海淀区45天、大兴区40天、丰台区35天、昌平区3天。
30000/30100/30111,公共卫生,国家卫健委：8月9日新增确诊病例49例 境外输入病例35例,8月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例49例，其中境外输入病例35例（上海18例，山东4例，四川4例，广东3例，陕西3例，辽宁2例，浙江1例），本土病例14例（均在新疆）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例64例，解除医学观察的密切接触者2305人，重症病例较前一日减少2例。境外输入现有确诊病例132例（其中重症病例1例），现有疑似病例7例。累计确诊病例2169例，累计治愈出院病例2037例，无死亡病例。截至8月9日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例802例（其中重症病例41例），累计治愈出院病例79232例，累计死亡病例4634例，累计报告确诊病例84668例，现有疑似病例7例。累计追踪到密切接触者800809人，尚在医学观察的密切接触者24055人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者31例（境外输入24例）；当日转为确诊病例3例（均为境外输入）；当日解除医学观察15例（境外输入4例）；尚在医学观察无症状感染者283例（境外输入136例）。累计收到港澳台地区通报确诊病例4602例。其中，香港特别行政区4079例（出院2847例，死亡52例），澳门特别行政区46例（出院46例），台湾地区477例（出院441例，死亡7例）。
30000/30100/30111,公共卫生,福州：大连输入无症状感染者的1738名接触者今日全部解除隔离,国家应急广播网福州8月9日消息（记者张子亚）近日，福州通报1例大连输入新冠病毒无症状感染者迟某某，当地省、市、区立即行动，采取有力有效措施，对摸排出的1738名迟某某相关接触人员开展多轮多次的新冠病毒核酸检测，结果均为阴性。经过14天的隔离医学观察，今日（9日）全部解除隔离。目前，福州全市均为低风险地区。国内低风险地区来榕人员可凭健康码绿码，在福州有序流动。据了解，摸排出的1738名迟某某相关接触人员中包括25名密切接触者（福州高新区24人、仓山区1人）。解除隔离后，将由所在社区（村居）或用人单位对其做好健康状况监测工作。无症状感染者迟某某正在福州肺科医院接受隔离医学观察，将在全面复查、经专家组判定符合解除隔离标准后，予以解除隔离。
30000/30100/30111,公共卫生,国家卫健委：8月8日新增新冠肺炎确诊病例23例 其中境外输入病例8例,8月8日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例23例，其中境外输入病例8例（广东5例，上海2例，浙江1例），本土病例15例（均在新疆）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例45例，解除医学观察的密切接触者2102人，重症病例较前一日增加1例。境外输入现有确诊病例107例（其中重症病例1例），现有疑似病例6例。累计确诊病例2134例，累计治愈出院病例2027例，无死亡病例。截至8月8日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例817例（其中重症病例43例），累计治愈出院病例79168例，累计死亡病例4634例，累计报告确诊病例84619例，现有疑似病例6例。累计追踪到密切接触者800268人，尚在医学观察的密切接触者25822人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者11例（均为境外输入）；当日无转为确诊病例；当日解除医学观察12例（境外输入5例）；尚在医学观察无症状感染者270例（境外输入119例）。累计收到港澳台地区通报确诊病例4530例。其中，香港特别行政区4007例（出院2755例，死亡47例），澳门特别行政区46例（出院46例），台湾地区477例（出院441例，死亡7例）。
30000/30100/30111,公共卫生,乌鲁木齐：单日治愈出院及解除医学观察人数首次超过新报告感染者人数,8月8日下午，新疆召开疫情防控新闻发布会，通报疫情防控最新情况。乌鲁木齐市人民政府副秘书长尚玉岚介绍，8月7日0时至24时，乌鲁木齐报告新增新冠肺炎确诊病例25例，新增无症状感染者8例，当日新增治愈出院确诊病例28例，新增无症状感染者解除医学观察9例。截至8月7日24时，乌鲁木齐现有确诊病例637例，现有无症状感染者126例，本轮疫情以来，8月7日单日治愈出院的确诊病例和解除医学观察的无症状感染者总数首次超过新报告感染者人数，在院治疗的确诊病例和接受医学观察的无症状感染者首次下降。从8月4日开始，乌鲁木齐加大了对重点区域和重点人群的核酸检测频次，确保能及时、彻底的找到病例和无症状感染者，使他们得到及时救治。
30000/30100/30111,公共卫生,新疆8月7日新增25例新冠肺炎确诊病例 新增无症状感染者8例,新疆维吾尔自治区卫生健康委最新通报，8月7日0时至24时，新疆维吾尔自治区（含新疆生产建设兵团）报告新增新冠肺炎确诊病例25例，新增无症状感染者8例，均在乌鲁木齐市；新增治愈出院确诊病例28例，无症状感染者解除医学观察9例，均在乌鲁木齐市；重症转普通型2例。截至8月7日24时，新疆（含兵团）现有确诊病例640例(危重症10例、重症24例)，其中乌鲁木齐市637例、喀什地区1例（乌鲁木齐市疫情关联病例）、昌吉州1例（乌鲁木齐市输入）、兵团1例；现有无症状感染者127例，其中乌鲁木齐市126例、昌吉州1例（乌鲁木齐市输入）；尚有20325人正在接受医学观察。7月15日0时至8月7日24时，累计治愈出院确诊病例108例，无症状感染者解除医学观察67例。
30000/30100/30111,公共卫生,国家卫健委：8月7日新增确诊病例31例 本土病例25例,8月7日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例31例，其中境外输入病例6例（上海2例，浙江1例，山东1例，湖北1例，广东1例），本土病例25例（均在新疆）；无新增死亡病例；新增疑似病例5例，均为境外输入病例（均在上海）。当日新增治愈出院病例35例，解除医学观察的密切接触者407人，重症病例较前一日增加6例。境外输入现有确诊病例109例（其中重症病例1例），现有疑似病例7例。累计确诊病例2126例，累计治愈出院病例2017例，无死亡病例。截至8月7日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例839例（其中重症病例42例），累计治愈出院病例79123例，累计死亡病例4634例，累计报告确诊病例84596例，现有疑似病例7例。累计追踪到密切接触者799701人，尚在医学观察的密切接触者27357人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者14例（境外输入6例）；当日无转为确诊病例；当日解除医学观察16例（境外输入5例）；尚在医学观察无症状感染者271例（境外输入113例）。累计收到港澳台地区通报确诊病例4461例。其中，香港特别行政区3938例（出院2620例，死亡47例），澳门特别行政区46例（出院46例），台湾地区477例（出院441例，死亡7例）。8月7日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例31例，其中境外输入病例6例（上海2例，浙江1例，山东1例，湖北1例，广东1例），本土病例25例（均在新疆）；无新增死亡病例；新增疑似病例5例，均为境外输入病例（均在上海）。当日新增治愈出院病例35例，解除医学观察的密切接触者407人，重症病例较前一日增加6例。境外输入现有确诊病例109例（其中重症病例1例），现有疑似病例7例。累计确诊病例2126例，累计治愈出院病例2017例，无死亡病例。截至8月7日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例839例（其中重症病例42例），累计治愈出院病例79123例，累计死亡病例4634例，累计报告确诊病例84596例，现有疑似病例7例。累计追踪到密切接触者799701人，尚在医学观察的密切接触者27357人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者14例（境外输入6例）；当日无转为确诊病例；当日解除医学观察16例（境外输入5例）；尚在医学观察无症状感染者271例（境外输入113例）。累计收到港澳台地区通报确诊病例4461例。其中，香港特别行政区3938例（出院2620例，死亡47例），澳门特别行政区46例（出院46例），台湾地区477例（出院441例，死亡7例）。
30000/30100/30111,公共卫生,乌鲁木齐：29家发热门诊闭环管理 设独立出入口,8月7日下午，新疆召开疫情防控新闻发布会，通报疫情防控最新情况。会上，乌鲁木齐市卫健委主任张卫通报，乌鲁木齐市共开设29家发热门诊24小时运转。各医院发热门诊设置在院内独立区域，与普通门急诊等区域实行物理隔离，与其他建筑公共场所保持一定距离，有独立的出入口，对发热门诊就诊的患者实行闭环式管理，防止院内感染和交叉感染。
30000/30100/30111,公共卫生,乌鲁木齐市6日新增26例新冠肺炎确诊病例 均为集中医学观察人员,今天（8月7日）下午，新疆维吾尔自治区人民政府新闻办公室召开新闻发布会，通报新冠肺炎疫情防控最新情况。会上，乌鲁木齐市人民政府副秘书长尚玉岚通报，乌鲁木齐市昨日报告新增新冠肺炎确诊病例26例，无症状感染者10例。当日新增治愈出院确诊病例20例，新增无症状感染者解除医学观察11例。7月15日0时至8月6日24时，累计治愈出院病例79例，无症状感染者解除医学观察58例。截至8月6日24时，乌鲁木齐全市现有确诊病例640例，现有无症状感染者127例。尚玉岚通报，昨日新增确诊病例较前一日下降1例，全部为对集中医学观察人员进行核酸筛查时发现。昨日治愈出院确诊病例和无症状感染者解除医学观察总数，为本轮疫情以来人数最多的一天。
