标题,url,日期,详细
截至12月14日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/256ddeec831d489297806a5482df907a.shtml,2020-12-15,12月14日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例17例，其中境外输入病例14例（四川5例，内蒙古4例，上海3例，北京1例，广东1例），本土病例3例（黑龙江2例，四川1例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例18例，解除医学观察的密切接触者1134人，重症病例与前一日持平。境外输入现有确诊病例262例（其中重症病例5例），现有疑似病例2例。累计确诊病例4049例，累计治愈出院病例3787例，无死亡病例。截至12月14日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例312例（其中重症病例7例），累计治愈出院病例81812例，累计死亡病例4634例，累计报告确诊病例86758例，现有疑似病例2例。累计追踪到密切接触者888359人，尚在医学观察的密切接触者6852人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者8例（均为境外输入）；当日转为确诊病例3例（境外输入2例）；当日解除医学观察6例（均为境外输入）；尚在医学观察无症状感染者196例（境外输入183例）。累计收到港澳台地区通报确诊病例8409例。其中，香港特别行政区7623例（出院6266例，死亡120例），澳门特别行政区46例（出院46例），台湾地区740例（出院606例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月13日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/18436494f842424cb9c1a0e4d5b0b71e.shtml,2020-12-14,12月13日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例16例，其中境外输入病例14例（上海7例，四川3例，北京1例，内蒙古1例，浙江1例，广东1例），本土病例2例（均在黑龙江）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例9例，解除医学观察的密切接触者346人，重症病例较前一日增加1例。境外输入现有确诊病例264例（其中重症病例5例），现有疑似病例2例。累计确诊病例4035例，累计治愈出院病例3771例，无死亡病例。截至12月13日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例313例（其中重症病例7例），累计治愈出院病例81794例，累计死亡病例4634例，累计报告确诊病例86741例，现有疑似病例2例。累计追踪到密切接触者887650人，尚在医学观察的密切接触者7277人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者9例（均为境外输入）；当日转为确诊病例1例（为境外输入）；当日解除医学观察6例（均为境外输入）；尚在医学观察无症状感染者197例（境外输入183例）。累计收到港澳台地区通报确诊病例8323例。其中，香港特别行政区7541例（出院6202例，死亡117例），澳门特别行政区46例（出院46例），台湾地区736例（出院606例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月12日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/1105352d7a5a4ad1845bb85deefef85b.shtml,2020-12-13,12月12日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例24例，其中境外输入病例19例（上海10例，北京2例，四川2例，黑龙江1例，江苏1例，山东1例，广东1例，云南1例），本土病例5例（黑龙江4例，四川1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例11例，解除医学观察的密切接触者434人，重症病例较前一日增加1例。境外输入现有确诊病例259例（其中重症病例5例），现有疑似病例2例。累计确诊病例4021例，累计治愈出院病例3762例，无死亡病例。截至12月12日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例306例（其中重症病例6例），累计治愈出院病例81785例，累计死亡病例4634例，累计报告确诊病例86725例，现有疑似病例2例。累计追踪到密切接触者887031人，尚在医学观察的密切接触者7006人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者14例（境外输入9例）；当日转为确诊病例5例（境外输入4例）；当日解除医学观察10例（境外输入9例）；尚在医学观察无症状感染者195例（境外输入181例）。累计收到港澳台地区通报确诊病例8225例。其中，香港特别行政区7446例（出院6114例，死亡115例），澳门特别行政区46例（出院46例），台湾地区733例（出院601例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月11日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/3385a896b4cd4b06811059986892cfdc.shtml,2020-12-12,12月11日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例13例，均为境外输入病例（上海5例，江苏2例，广东2例，天津1例，浙江1例，福建1例，云南1例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例12例，解除医学观察的密切接触者619人，重症病例与前一日持平。境外输入现有确诊病例250例（其中重症病例4例），现有疑似病例3例。累计确诊病例4002例，累计治愈出院病例3752例，无死亡病例。截至12月11日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例293例（其中重症病例5例），累计治愈出院病例81774例，累计死亡病例4634例，累计报告确诊病例86701例，现有疑似病例3例。累计追踪到密切接触者886495人，尚在医学观察的密切接触者6904人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者17例（境外输入15例）；当日转为确诊病例2例（均为境外输入）；当日解除医学观察19例（均为境外输入）；尚在医学观察无症状感染者196例（境外输入185例）。累计收到港澳台地区通报确诊病例8148例。其中，香港特别行政区7377例（出院5996例，死亡114例），澳门特别行政区46例（出院46例），台湾地区725例（出院595例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月10日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/9c71024c45bf43548469204f9e9e064b.shtml,2020-12-11,12月10日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例15例，其中境外输入病例9例（上海5例，广东3例，云南1例），本土病例6例（四川4例，黑龙江2例）；无新增死亡病例；无新增疑似病例。当日新增治愈出院病例8例，解除医学观察的密切接触者218人，重症病例与前一日持平。境外输入现有确诊病例246例（其中重症病例3例），现有疑似病例3例。累计确诊病例3989例，累计治愈出院病例3743例，无死亡病例。截至12月10日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例292例（其中重症病例5例），累计治愈出院病例81762例，累计死亡病例4634例，累计报告确诊病例86688例，现有疑似病例3例。累计追踪到密切接触者885676人，尚在医学观察的密切接触者6708人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者7例（境外输入6例）；当日转为确诊病例2例（均为境外输入）；当日解除医学观察6例（均为境外输入）；尚在医学观察无症状感染者200例（境外输入191例）。累计收到港澳台地区通报确诊病例8061例。其中，香港特别行政区7291例（出院5900例，死亡114例），澳门特别行政区46例（出院46例），台湾地区724例（出院590例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月9日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/a1dc5366c0414c2a91b8781764fbb965.shtml,2020-12-10,12月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例12例，其中境外输入病例11例（上海9例，福建1例，广东1例），本土病例1例（在内蒙古）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在上海）。当日新增治愈出院病例11例，解除医学观察的密切接触者382人，重症病例与前一日持平。境外输入现有确诊病例242例（其中重症病例3例），现有疑似病例3例。累计确诊病例3980例，累计治愈出院病例3738例，无死亡病例。截至12月9日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例285例（其中重症病例5例），累计治愈出院病例81754例，累计死亡病例4634例，累计报告确诊病例86673例，现有疑似病例3例。累计追踪到密切接触者885409人，尚在医学观察的密切接触者6659人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者5例（均为境外输入）；当日转为确诊病例2例（均为境外输入）；当日解除医学观察12例（均为境外输入）；尚在医学观察无症状感染者201例（境外输入193例）。累计收到港澳台地区通报确诊病例7945例。其中，香港特别行政区7179例（出院5783例，死亡114例），澳门特别行政区46例（出院46例），台湾地区720例（出院585例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月8日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/240553e26c4e467d9122fdbeb7f8d264.shtml,2020-12-09,12月8日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例15例，其中境外输入病例11例（上海6例，广东2例，江苏1例，广西1例，四川1例），本土病例4例（均在四川）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在上海）。当日新增治愈出院病例11例，解除医学观察的密切接触者163人，重症病例较前一日减少1例。境外输入现有确诊病例242例（其中重症病例3例），现有疑似病例3例。累计确诊病例3969例，累计治愈出院病例3727例，无死亡病例。截至12月8日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例284例（其中重症病例5例），累计治愈出院病例81743例，累计死亡病例4634例，累计报告确诊病例86661例，现有疑似病例3例。累计追踪到密切接触者884789人，尚在医学观察的密切接触者6421人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者1例（无境外输入）；当日转为确诊病例1例（为境外输入）；当日解除医学观察9例（均为境外输入）；尚在医学观察无症状感染者210例（境外输入202例）。累计收到港澳台地区通报确诊病例7839例。其中，香港特别行政区7075例（出院5696例，死亡112例），澳门特别行政区46例（出院46例），台湾地区718例（出院582例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月7日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/b55b4da970e64f459dc9a1b023e176f9.shtml,2020-12-08,12月7日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例12例，其中境外输入病例10例（上海4例，广东3例，四川3例），本土病例2例（均在四川）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。当日新增治愈出院病例13例，解除医学观察的密切接触者301人，重症病例与前一日持平。境外输入现有确诊病例242例（其中重症病例3例），现有疑似病例2例。累计确诊病例3958例，累计治愈出院病例3716例，无死亡病例。截至12月7日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例280例（其中重症病例6例），累计治愈出院病例81732例，累计死亡病例4634例，累计报告确诊病例86646例，现有疑似病例3例。累计追踪到密切接触者884319人，尚在医学观察的密切接触者6114人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者5例（均为境外输入）；当日转为确诊病例1例（为境外输入）；当日解除医学观察16例（均为境外输入）；尚在医学观察无症状感染者219例（境外输入212例）。累计收到港澳台地区通报确诊病例7737例。其中，香港特别行政区6975例（出院5626例，死亡112例），澳门特别行政区46例（出院46例），台湾地区716例（出院574例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月6日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/e59afaf7e843468786012e75291fd01d.shtml,2020-12-07,12月6日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例15例，其中境外输入病例12例（上海7例，广东2例，浙江1例，福建1例，云南1例），本土病例3例（均在内蒙古）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在上海）。当日新增治愈出院病例13例，解除医学观察的密切接触者372人，重症病例与前一日持平。境外输入现有确诊病例245例（其中重症病例4例），现有疑似病例4例。累计确诊病例3948例，累计治愈出院病例3703例，无死亡病例。截至12月6日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例281例（其中重症病例6例），累计治愈出院病例81719例，累计死亡病例4634例，累计报告确诊病例86634例，现有疑似病例5例。累计追踪到密切接触者883662人，尚在医学观察的密切接触者5758人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者6例（均为境外输入）；当日转为确诊病例1例（为境外输入）；当日解除医学观察8例（均为境外输入）；尚在医学观察无症状感染者231例（境外输入224例）。累计收到港澳台地区通报确诊病例7659例。其中，香港特别行政区6897例（出院5567例，死亡112例），澳门特别行政区46例（出院46例），台湾地区716例（出院574例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
截至12月5日24时新型冠状病毒肺炎疫情最新情况,http://www.nhc.gov.cn/xcs/yqtb/202012/65d1ce8e13cc4d5a9bb690bf1e6393d8.shtml,2020-12-06,12月5日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例18例，其中境外输入病例17例（上海6例，福建6例，广东2例，四川1例，云南1例，陕西1例），本土病例1例（在天津）；无新增死亡病例；新增疑似病例2例，均为境外输入病例（均在上海）。当日新增治愈出院病例12例，解除医学观察的密切接触者717人，重症病例与前一日持平。境外输入现有确诊病例246例（其中重症病例4例），现有疑似病例8例。累计确诊病例3936例，累计治愈出院病例3690例，无死亡病例。截至12月5日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例279例（其中重症病例6例），累计治愈出院病例81706例，累计死亡病例4634例，累计报告确诊病例86619例，现有疑似病例9例。累计追踪到密切接触者883072人，尚在医学观察的密切接触者5540人。31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者2例（均为境外输入）；当日转为确诊病例6例（均为境外输入）；当日解除医学观察11例（均为境外输入）；尚在医学观察无症状感染者234例（境外输入227例）。累计收到港澳台地区通报确诊病例7541例。其中，香港特别行政区6802例（出院5511例，死亡112例），澳门特别行政区46例（出院46例），台湾地区693例（出院574例，死亡7例）。（注：媒体引用时，请标注“信息来自国家卫生健康委员会官方网站”。）
